Density profile based on an MSIS profile.
This profile is just meant as an example for the conceptual model.
It has no further scientific meaning.
The molekular density is given in 1/cm^3 and the altitude in km.

idx;altitude;density
464;92.8;32821000000000.0
465;93.0;31375600000000.0
466;93.2;29993600000000.0
467;93.4;28685200000000.0
468;93.6;27431100000000.0
469;93.8;26238500000000.0
470;94.0;25098200000000.0
471;94.2;24009300000000.0
472;94.4;22981700000000.0
473;94.6;21994400000000.0
474;94.8;21056400000000.0
475;95.0;20158800000000.0
476;95.2;19309400000000.0
477;95.4;18499300000000.0
478;95.6;17727300000000.0
479;95.8;16992700000000.0
480;96.0;16296200000000.0
481;96.2;15626000000000.0
482;96.4;14992900000000.0
483;96.6;14386100000000.0
484;96.8;13805400000000.0
485;97.0;13260000000000.0
486;97.2;12730700000000.0
487;97.4;12233500000000.0
488;97.6;11758460000000.0
489;97.8;11306630000000.0
490;98.0;10874990000000.0
491;98.2;10464450000000.0
492;98.4;10073980000000.0
493;98.6;9701680000000.0
494;98.8;9347550000000.0
495;99.0;9009570000000.0
496;99.2;8687740000000.0
497;99.4;8381950000000.0
498;99.6;8088290000000.0
499;99.8;7810850000000.0
500;100.0;7545440000000.0
501;100.2;7293140000000.0
502;100.4;7052940000000.0
503;100.6;6822950000000.0
504;100.8;6603950000000.0
505;101.0;6394030000000.0
506;101.2;6193300000000.0
507;101.4;6001550000000.0
508;101.6;5817870000000.0
509;101.8;5641560000000.0
510;102.0;5472310000000.0
511;102.2;5310630000000.0
512;102.4;5154200000000.0
513;102.6;5003920000000.0
514;102.8;4859900000000.0
515;103.0;4720820000000.0
516;103.2;4586990000000.0
517;103.4;4457100000000.0
518;103.6;4332160000000.0
519;103.8;4211950000000.0
520;104.0;4094680000000.0
521;104.2;3982240000000.0
522;104.4;3873430000000.0
523;104.6;3767460000000.0
524;104.8;3665020000000.0
525;105.0;3565400000000.0
526;105.2;3468210000000.0
527;105.4;3374750000000.0
528;105.6;3283710000000.0
529;105.8;3195300000000.0
530;106.0;3109310000000.0
531;106.2;3025940000000.0
532;106.4;2943990000000.0
533;106.6;2864360000000.0
534;106.8;2787350000000.0
535;107.0;2711550000000.0
536;107.2;2638280000000.0
537;107.4;2566320000000.0
538;107.6;2496880000000.0
539;107.8;2428660000000.0
540;108.0;2361850000000.0
541;108.2;2297350000000.0
542;108.4;2233180000000.0
543;108.6;2171210000000.0
544;108.8;2110660000000.0
545;109.0;2051420000000.0
546;109.2;1994490000000.0
547;109.4;1937780000000.0
548;109.6;1882280000000.0
549;109.8;1828190000000.0
550;110.0;1776213000000.0
551;110.2;1724547000000.0
552;110.4;1674292000000.0
553;110.6;1625049000000.0
554;110.8;1577196000000.0
555;111.0;1530484000000.0
556;111.2;1485172000000.0
557;111.4;1440981000000.0
558;111.6;1398110000000.0
559;111.8;1355450000000.0
560;112.0;1315009000000.0
561;112.2;1274787000000.0
562;112.4;1236685000000.0
563;112.6;1199092000000.0
564;112.8;1162738000000.0
565;113.0;1127293000000.0
566;113.2;1092976000000.0
567;113.4;1059578000000.0
568;113.6;1027207000000.0
569;113.8;995864000000.0
570;114.0;965438000000.0
571;114.2;935950000000.0
572;114.4;907378000000.0
573;114.6;879633000000.0
574;114.8;852805000000.0
575;115.0;826813000000.0
576;115.2;801638000000.0
577;115.4;777218000000.0
578;115.6;753573000000.0
579;115.8;730775000000.0
580;116.0;708621000000.0
581;116.2;687223000000.0
582;116.4;666569000000.0
583;116.6;646440000000.0
584;116.8;627065000000.0
585;117.0;608405000000.0
586;117.2;590279000000.0
587;117.4;572678000000.0
588;117.6;555789000000.0
589;117.8;539425000000.0
590;118.0;523554000000.0
591;118.2;508307000000.0
592;118.4;493463000000.0
593;118.6;479222000000.0
594;118.8;465383000000.0
595;119.0;452028000000.0
596;119.2;439176000000.0
597;119.4;426806000000.0
598;119.6;414739000000.0
599;119.8;403244000000.0
600;120.0;392042000000.0
601;120.2;381202000000.0
602;120.4;370864000000.0
603;120.6;360778000000.0
604;120.8;351084000000.0
605;121.0;341742000000.0
606;121.2;332772000000.0
607;121.4;324083000000.0
608;121.6;315747000000.0
609;121.8;307682000000.0
610;122.0;299867900000.0
611;122.2;292425700000.0
612;122.4;285235000000.0
613;122.6;278295600000.0
614;122.8;271617500000.0
615;123.0;265190700000.0
616;123.2;259015100000.0
617;123.4;253180600000.0
618;123.6;248791700000.0
619;123.8;243269500000.0
620;124.0;238088000000.0
621;124.2;232927300000.0
622;124.4;228007400000.0
623;124.6;223218300000.0
624;124.8;218539800000.0
625;125.0;214011900000.0
626;125.2;209604700000.0
627;125.4;205428100000.0
628;125.6;201262100000.0
629;125.8;197226700000.0
630;126.0;193321700000.0
631;126.2;189537300000.0
632;126.4;185873400000.0
633;126.6;182229900000.0
634;126.8;178806800000.0
635;127.0;175394200000.0
636;127.2;172012000000.0
637;127.4;168850200000.0
638;127.6;165688800000.0
639;127.8;162657700000.0
640;128.0;159637000000.0
641;128.2;156736700000.0
642;128.4;153946600000.0
643;128.6;151176900000.0
644;128.8;148517400000.0
645;129.0;145868300000.0
646;129.2;143339400000.0
647;129.4;140830800000.0
648;129.6;138412400000.0
649;129.8;136034300000.0
650;130.0;133636400000.0
651;130.2;131368800000.0
652;130.4;129201300000.0
653;130.6;127044100000.0
654;130.8;124932100000.0
655;131.0;122866300000.0
656;131.2;120855700000.0
657;131.4;118881300000.0
658;131.6;116952000000.0
659;131.8;115068000000.0
660;132.0;113229100000.0
661;132.2;111435300000.0
662;132.4;109666700000.0
663;132.6;107942300000.0
664;132.8;106252000000.0
665;133.0;104606800000.0
